po,pi,rel
n4,n0,B
n10,n0,B
n33,n0,B
n39,n0,B
n66,n0,B
n70,n0,I
n71,n0,B
n79,n0,B
n4,n3,B
n10,n3,B
n33,n3,B
n39,n3,I
n66,n3,I
n70,n3,I
n71,n3,B
n79,n3,B
n4,n11,B
n10,n11,N
n33,n11,P
n39,n11,B
n66,n11,B
n70,n11,B
n71,n11,P
n79,n11,B
n4,n15,B
n10,n15,N
n33,n15,P
n39,n15,B
n66,n15,B
n70,n15,I
n71,n15,P
n79,n15,B
n4,n21,B
n10,n21,N
n33,n21,P
n39,n21,B
n66,n21,B
n70,n21,N
n71,n21,P
n79,n21,N
n4,n35,B
n10,n35,B
n33,n35,B
n39,n35,B
n66,n35,B
n70,n35,B
n71,n35,B
n79,n35,B
n4,n36,B
n10,n36,N
n33,n36,P
n39,n36,B
n66,n36,I
n70,n36,I
n71,n36,P
n79,n36,B
n4,n37,B
n10,n37,N
n33,n37,P
n39,n37,I
n66,n37,I
n70,n37,I
n71,n37,P
n79,n37,B
n4,n41,B
n10,n41,N
n33,n41,P
n39,n41,B
n66,n41,B
n70,n41,P
n71,n41,I
n79,n41,P
n4,n61,B
n10,n61,B
n33,n61,B
n39,n61,B
n66,n61,I
n70,n61,I
n71,n61,B
n79,n61,B
n4,n73,B
n10,n73,N
n33,n73,P
n39,n73,B
n66,n73,B
n70,n73,N
n71,n73,P
n79,n73,N
n4,n80,B
n10,n80,N
n33,n80,P
n39,n80,B
n66,n80,B
n70,n80,P
n71,n80,I
n79,n80,P
