po,pi,rel
n37,n4,B
n84,n4,I
n132,n4,I
n850,n4,B
n872,n4,B
n1157,n4,B
n1229,n4,B
n1398,n4,I
n1540,n4,I
n1889,n4,B
n2385,n4,B
n2490,n4,B
n2622,n4,I
n2864,n4,I
n3209,n4,B
n3452,n4,B
n3806,n4,B
n37,n44,B
n84,n44,I
n132,n44,I
n850,n44,B
n872,n44,B
n1157,n44,B
n1229,n44,B
n1398,n44,B
n1540,n44,I
n1889,n44,B
n2385,n44,B
n2490,n44,B
n2622,n44,I
n2864,n44,I
n3209,n44,B
n3452,n44,B
n3806,n44,B
n37,n56,B
n84,n56,B
n132,n56,I
n850,n56,B
n872,n56,B
n1157,n56,B
n1229,n56,B
n1398,n56,B
n1540,n56,I
n1889,n56,B
n2385,n56,B
n2490,n56,B
n2622,n56,B
n2864,n56,B
n3209,n56,B
n3452,n56,B
n3806,n56,B
n37,n66,B
n84,n66,B
n132,n66,B
n850,n66,B
n872,n66,B
n1157,n66,B
n1229,n66,B
n1398,n66,B
n1540,n66,B
n1889,n66,B
n2385,n66,B
n2490,n66,B
n2622,n66,B
n2864,n66,B
n3209,n66,B
n3452,n66,B
n3806,n66,B
n37,n88,B
n84,n88,I
n132,n88,I
n850,n88,B
n872,n88,B
n1157,n88,B
n1229,n88,B
n1398,n88,B
n1540,n88,I
n1889,n88,B
n2385,n88,B
n2490,n88,B
n2622,n88,I
n2864,n88,B
n3209,n88,B
n3452,n88,B
n3806,n88,B
n37,n181,B
n84,n181,I
n132,n181,I
n850,n181,B
n872,n181,B
n1157,n181,B
n1229,n181,B
n1398,n181,B
n1540,n181,I
n1889,n181,B
n2385,n181,B
n2490,n181,B
n2622,n181,I
n2864,n181,B
n3209,n181,B
n3452,n181,B
n3806,n181,B
n37,n185,B
n84,n185,B
n132,n185,B
n850,n185,B
n872,n185,B
n1157,n185,B
n1229,n185,B
n1398,n185,B
n1540,n185,B
n1889,n185,B
n2385,n185,B
n2490,n185,B
n2622,n185,B
n2864,n185,B
n3209,n185,B
n3452,n185,B
n3806,n185,B
n37,n196,B
n84,n196,B
n132,n196,I
n850,n196,B
n872,n196,B
n1157,n196,B
n1229,n196,B
n1398,n196,B
n1540,n196,I
n1889,n196,B
n2385,n196,B
n2490,n196,B
n2622,n196,I
n2864,n196,B
n3209,n196,B
n3452,n196,B
n3806,n196,B
n37,n220,B
n84,n220,B
n132,n220,I
n850,n220,B
n872,n220,B
n1157,n220,B
n1229,n220,B
n1398,n220,B
n1540,n220,I
n1889,n220,B
n2385,n220,B
n2490,n220,B
n2622,n220,B
n2864,n220,B
n3209,n220,B
n3452,n220,B
n3806,n220,B
n37,n274,B
n84,n274,I
n132,n274,I
n850,n274,B
n872,n274,B
n1157,n274,B
n1229,n274,B
n1398,n274,B
n1540,n274,I
n1889,n274,B
n2385,n274,B
n2490,n274,B
n2622,n274,I
n2864,n274,I
n3209,n274,B
n3452,n274,B
n3806,n274,B
n37,n308,B
n84,n308,B
n132,n308,I
n850,n308,B
n872,n308,B
n1157,n308,B
n1229,n308,B
n1398,n308,B
n1540,n308,I
n1889,n308,B
n2385,n308,B
n2490,n308,B
n2622,n308,B
n2864,n308,B
n3209,n308,B
n3452,n308,B
n3806,n308,B
n37,n335,B
n84,n335,I
n132,n335,I
n850,n335,B
n872,n335,B
n1157,n335,B
n1229,n335,B
n1398,n335,I
n1540,n335,I
n1889,n335,B
n2385,n335,B
n2490,n335,B
n2622,n335,I
n2864,n335,I
n3209,n335,B
n3452,n335,I
n3806,n335,B
n37,n422,B
n84,n422,I
n132,n422,I
n850,n422,B
n872,n422,B
n1157,n422,B
n1229,n422,B
n1398,n422,B
n1540,n422,I
n1889,n422,B
n2385,n422,B
n2490,n422,B
n2622,n422,I
n2864,n422,B
n3209,n422,B
n3452,n422,B
