po,pi,rel
n85,n59,B
n232,n59,I
n599,n59,B
n676,n59,B
n964,n59,B
n1007,n59,I
n2192,n59,B
n2586,n59,B
n2673,n59,I
n2747,n59,B
n2886,n59,I
n2903,n59,I
n3055,n59,I
n3112,n59,B
n3121,n59,B
n3241,n59,B
n3584,n59,B
n85,n74,B
n232,n74,B
n599,n74,B
n676,n74,B
n964,n74,B
n1007,n74,B
n2192,n74,B
n2586,n74,B
n2673,n74,B
n2747,n74,B
n2886,n74,B
n2903,n74,B
n3055,n74,I
n3112,n74,B
n3121,n74,B
n3241,n74,B
n3584,n74,B
n85,n145,B
n232,n145,I
n599,n145,I
n676,n145,B
n964,n145,B
n1007,n145,I
n2192,n145,B
n2586,n145,B
n2673,n145,I
n2747,n145,B
n2886,n145,I
n2903,n145,I
n3055,n145,I
n3112,n145,B
n3121,n145,B
n3241,n145,B
n3584,n145,B
n85,n161,B
n232,n161,B
n599,n161,B
n676,n161,B
n964,n161,B
n1007,n161,B
n2192,n161,B
n2586,n161,B
n2673,n161,B
n2747,n161,B
n2886,n161,B
n2903,n161,B
n3055,n161,I
n3112,n161,B
n3121,n161,B
n3241,n161,B
n3584,n161,B
n85,n228,B
n232,n228,I
n599,n228,I
n676,n228,B
n964,n228,B
n1007,n228,I
n2192,n228,B
n2586,n228,B
n2673,n228,I
n2747,n228,B
n2886,n228,I
n2903,n228,I
n3055,n228,I
n3112,n228,B
n3121,n228,B
n3241,n228,B
n3584,n228,B
n85,n272,B
n232,n272,B
n599,n272,B
n676,n272,B
n964,n272,B
n1007,n272,B
n2192,n272,B
n2586,n272,B
n2673,n272,I
n2747,n272,B
n2886,n272,B
n2903,n272,B
n3055,n272,I
n3112,n272,B
n3121,n272,B
n3241,n272,B
n3584,n272,B
n85,n330,B
n232,n330,I
n599,n330,B
n676,n330,B
n964,n330,B
n1007,n330,I
n2192,n330,B
n2586,n330,B
n2673,n330,I
n2747,n330,B
n2886,n330,I
n2903,n330,I
n3055,n330,I
n3112,n330,B
n3121,n330,B
n3241,n330,B
n3584,n330,B
n85,n388,B
n232,n388,I
n599,n388,B
n676,n388,B
n964,n388,B
n1007,n388,I
n2192,n388,B
n2586,n388,B
n2673,n388,I
n2747,n388,B
n2886,n388,B
n2903,n388,I
n3055,n388,I
n3112,n388,B
n3121,n388,B
n3241,n388,B
n3584,n388,B
n85,n400,B
n232,n400,B
n599,n400,B
n676,n400,B
n964,n400,B
n1007,n400,B
n2192,n400,B
n2586,n400,B
n2673,n400,I
n2747,n400,B
n2886,n400,B
n2903,n400,B
n3055,n400,I
n3112,n400,B
n3121,n400,B
n3241,n400,B
n3584,n400,B
n85,n402,B
n232,n402,B
n599,n402,B
n676,n402,B
n964,n402,B
n1007,n402,B
n2192,n402,B
n2586,n402,B
n2673,n402,B
n2747,n402,B
n2886,n402,B
n2903,n402,B
n3055,n402,B
n3112,n402,B
n3121,n402,B
n3241,n402,B
n3584,n402,B
n85,n407,B
n232,n407,I
n599,n407,B
n676,n407,B
n964,n407,B
n1007,n407,I
n2192,n407,B
n2586,n407,B
n2673,n407,I
n2747,n407,B
n2886,n407,I
n2903,n407,I
n3055,n407,I
n3112,n407,B
n3121,n407,B
n3241,n407,B
n3584,n407,B
n85,n434,B
n232,n434,I
n599,n434,B
n676,n434,B
n964,n434,B
n1007,n434,I
n2192,n434,B
n2586,n434,B
n2673,n434,I
n2747,n434,B
n2886,n434,I
n2903,n434,I
n3055,n434,I
n3112,n434,B
n3121,n434,B
n3241,n434,B
n3584,n434,B
n85,n435,B
n232,n435,I
n599,n435,B
n676,n435,B
n964,n435,B
n1007,n435,B
n2192,n435,B
n2586,n435,B
n2673,n435,I
n2747,n435,B
n2886,n435,B
n2903,n435,B
n3055,n435,I
n3112,n435,B
n3121,n435,B
n3241,n435,B
n3584,n435,B
n85,n476,B
n232,n476,B
n599,n476,B
n676,n476,B
n964,n476,B
n1007,n476,B
n2192,n476,B
n2586,n476,B
n2673,n476,B
n2747,n476,B
n2886,n476,B
n2903,n476,B
n3055,n476,B
n3112,n476,B
n3121,n476,B
n3241,n476,B
n3584,n476,B
n85,n520,B
n232,n520,I
n599,n520,B
n676,n520,B
n964,n520,B
n1007,n520,B
n2192,n520,B
n2586,n520,B
n2673,n520,I
n2747,n520,B
n2886,n520,B
n2903,n520,B
n3055,n520,I
n3112,n520,B
n3121,n520,B
n3241,n520,B
n3584,n520,B
n85,n579,B
n232,n579,B
n599,n579,B
n676,n579,B
n964,n579,B
n1007,n579,B
n2192,n579,B
n2586,n579,B
n2673,n579,B
n2747,n579,B
n2886,n579,B
n2903,n579,B
n3055,n579,I
n3112,n579,B
n3121,n579,B
n3241,n579,B
n3584,n579,B
n85,n582,B
n232,n582,I
n599,n582,B
n676,n582,B
n964,n582,B
n1007,n582,I
n2192,n582,B
n2586,n582,B
n2673,n582,I
n2747,n582,B
n2886,n582,B
n2903,n582,I
n3055,n582,I
n3112,n582,B
n3121,n582,B
n3241,n582,B
n3584,n582,B
n85,n648,B
n232,n648,I
n599,n648,I
n676,n648,B
n964,n648,B
n1007,n648,I
n2192,n648,B
n2586,n648,B
n2673,n648,I
n2747,n648,B
n2886,n648,I
n2903,n648,I
n3055,n648,I
n3112,n648,B
n3121,n648,B
n3241,n648,B
n3584,n648,B
n85,n653,B
n232,n653,B
n599,n653,B
n676,n653,B
n964,n653,B
n1007,n653,B
n2192,n653,B
n2586,n653,B
n2673,n653,B
n2747,n653,B
n2886,n653,B
n2903,n653,B
n3055,n653,I
n3112,n653,B
n3121,n653,B
n3241,n653,B
n3584,n653,B
n85,n660,B
n232,n660,B
n599,n660,B
n676,n660,B
n964,n660,B
n1007,n660,B
n2192,n660,B
n2586,n660,B
n2673,n660,I
n2747,n660,B
n2886,n660,B
n2903,n660,B
n3055,n660,I
n3112,n660,B
n3121,n660,B
n3241,n660,B
n3584,n660,B
n85,n674,B
n232,n674,B
n599,n674,B
n676,n674,B
n964,n674,B
n1007,n674,B
n2192,n674,B
n2586,n674,B
n2673,n674,I
n2747,n674,B
n2886,n674,B
n2903,n674,B
n3055,n674,I
n3112,n674,B
n3121,n674,B
n3241,n674,B
n3584,n674,B
n85,n728,B
n232,n728,I
n599,n728,I
n676,n728,B
n964,n728,B
n1007,n728,I
n2192,n728,B
n2586,n728,B
n2673,n728,I
n2747,n728,B
n2886,n728,I
n2903,n728,I
n3055,n728,I
n3112,n728,B
n3121,n728,B
n3241,n728,B
n3584,n728,B
n85,n730,B
