po,pi,rel
n5,n1,I
n6,n1,I
n11,n1,I
n16,n1,I
n26,n1,I
n54,n1,I
n56,n1,I
n67,n1,I
n74,n1,I
n76,n1,I
n82,n1,I
n92,n1,I
n94,n1,I
n101,n1,I
n102,n1,I
n108,n1,I
n109,n1,I
n113,n1,I
n116,n1,I
n120,n1,I
n125,n1,I
n134,n1,I
n140,n1,I
n150,n1,I
n153,n1,I
n161,n1,I
n176,n1,I
n193,n1,I
n195,n1,I
n196,n1,I
n200,n1,I
n204,n1,I
n207,n1,I
n213,n1,I
n217,n1,I
n219,n1,I
n220,n1,I
n226,n1,I
n233,n1,I
n234,n1,I
n239,n1,I
n245,n1,I
n254,n1,I
n256,n1,I
n257,n1,I
n268,n1,I
n279,n1,I
n281,n1,I
n282,n1,I
n288,n1,I
n300,n1,I
n314,n1,I
n329,n1,I
n336,n1,I
n340,n1,I
n344,n1,I
n346,n1,P
n349,n1,I
n363,n1,I
n385,n1,I
n394,n1,I
n406,n1,I
n407,n1,I
n416,n1,I
n426,n1,I
n432,n1,I
n437,n1,I
n452,n1,I
n453,n1,I
n462,n1,I
n470,n1,I
n475,n1,I
n479,n1,I
n481,n1,I
n484,n1,I
n492,n1,I
n499,n1,I
n502,n1,I
n506,n1,I
n509,n1,I
n511,n1,I
n512,n1,I
n517,n1,I
n530,n1,I
n533,n1,I
n534,n1,I
n536,n1,I
n537,n1,I
n560,n1,I
n565,n1,I
n570,n1,I
n573,n1,I
n577,n1,I
n578,n1,I
n580,n1,I
n590,n1,I
n593,n1,I
n615,n1,I
n619,n1,I
n637,n1,I
n640,n1,I
n644,n1,I
n647,n1,I
n662,n1,I
n679,n1,I
n705,n1,I
n711,n1,I
n716,n1,I
n717,n1,I
n718,n1,I
n726,n1,I
n735,n1,I
n746,n1,I
n750,n1,I
n751,n1,I
n755,n1,I
n758,n1,I
n760,n1,I
n772,n1,I
n773,n1,I
n779,n1,I
n788,n1,I
n790,n1,I
n795,n1,I
n800,n1,I
n805,n1,I
n815,n1,I
n829,n1,I
n835,n1,I
n836,n1,I
n839,n1,I
n845,n1,I
n850,n1,I
n851,n1,I
n853,n1,I
n861,n1,I
n885,n1,I
n893,n1,I
n895,n1,I
n898,n1,I
n5,n2,I
n6,n2,I
n11,n2,I
n16,n2,I
n26,n2,I
n54,n2,I
n56,n2,I
n67,n2,I
n74,n2,I
n76,n2,I
n82,n2,I
n92,n2,I
n94,n2,I
n101,n2,I
n102,n2,I
n108,n2,I
n109,n2,I
n113,n2,I
n116,n2,I
n120,n2,I
n125,n2,I
n134,n2,I
n140,n2,I
n150,n2,I
n153,n2,I
n161,n2,I
