po,pi,rel
n29,n19,I
n76,n19,N
n152,n19,N
n194,n19,N
n224,n19,P
n245,n19,I
n248,n19,N
n29,n24,N
n76,n24,N
n152,n24,P
n194,n24,B
n224,n24,P
n245,n24,B
n248,n24,N
n29,n32,I
n76,n32,N
n152,n32,N
n194,n32,N
n224,n32,N
n245,n32,I
n248,n32,P
n29,n36,I
n76,n36,N
n152,n36,P
n194,n36,N
n224,n36,P
n245,n36,I
n248,n36,P
n29,n49,I
n76,n49,N
n152,n49,N
n194,n49,N
n224,n49,P
n245,n49,I
n248,n49,P
n29,n52,I
n76,n52,N
n152,n52,P
n194,n52,B
n224,n52,N
n245,n52,N
n248,n52,N
n29,n58,N
n76,n58,N
n152,n58,N
n194,n58,B
n224,n58,P
n245,n58,B
n248,n58,P
n29,n59,P
n76,n59,P
n152,n59,P
n194,n59,B
n224,n59,P
n245,n59,B
n248,n59,P
n29,n60,I
n76,n60,N
n152,n60,P
n194,n60,B
n224,n60,P
n245,n60,N
n248,n60,N
n29,n69,N
n76,n69,P
n152,n69,P
n194,n69,B
n224,n69,P
n245,n69,B
n248,n69,P
n29,n73,P
n76,n73,N
n152,n73,N
n194,n73,B
n224,n73,N
n245,n73,B
n248,n73,N
n29,n96,I
n76,n96,N
n152,n96,P
n194,n96,N
n224,n96,N
n245,n96,I
n248,n96,N
n29,n97,N
n76,n97,N
n152,n97,P
n194,n97,B
n224,n97,N
n245,n97,B
n248,n97,P
n29,n100,P
n76,n100,P
n152,n100,N
n194,n100,B
n224,n100,N
n245,n100,B
n248,n100,P
n29,n108,N
n76,n108,N
n152,n108,P
n194,n108,B
n224,n108,N
n245,n108,B
n248,n108,N
n29,n117,P
n76,n117,P
n152,n117,N
n194,n117,B
n224,n117,N
n245,n117,B
n248,n117,N
n29,n123,P
n76,n123,P
n152,n123,N
n194,n123,B
n224,n123,P
n245,n123,B
n248,n123,N
n29,n143,I
n76,n143,N
n152,n143,N
n194,n143,N
n224,n143,N
n245,n143,I
n248,n143,N
n29,n149,P
n76,n149,P
n152,n149,P
n194,n149,B
n224,n149,N
n245,n149,B
n248,n149,N
n29,n151,N
n76,n151,N
n152,n151,N
n194,n151,B
n224,n151,N
n245,n151,B
n248,n151,N
n29,n158,I
n76,n158,N
n152,n158,N
n194,n158,B
n224,n158,P
n245,n158,N
n248,n158,N
n29,n167,I
n76,n167,N
n152,n167,P
n194,n167,N
n224,n167,P
n245,n167,I
n248,n167,N
n29,n189,I
n76,n189,N
n152,n189,N
n194,n189,B
n224,n189,N
n245,n189,N
n248,n189,P
n29,n196,I
n76,n196,N
n152,n196,P
n194,n196,B
n224,n196,P
n245,n196,N
n248,n196,P
n29,n197,I
n76,n197,N
n152,n197,N
n194,n197,B
n224,n197,N
n245,n197,N
n248,n197,N
n29,n198,I
n76,n198,P
n152,n198,P
n194,n198,N
n224,n198,P
n245,n198,I
n248,n198,P
n29,n206,I
n76,n206,N
n152,n206,P
n194,n206,B
n224,n206,N
n245,n206,N
n248,n206,P
n29,n209,P
n76,n209,P
n152,n209,N
n194,n209,B
n224,n209,P
n245,n209,B
n248,n209,P
n29,n210,N
n76,n210,N
n152,n210,N
n194,n210,B
n224,n210,P
n245,n210,B
n248,n210,N
n29,n217,P
n76,n217,P
n152,n217,P
n194,n217,B
n224,n217,N
n245,n217,B
n248,n217,P
n29,n218,N
n76,n218,N
n152,n218,N
n194,n218,B
n224,n218,N
n245,n218,B
n248,n218,P
n29,n222,I
n76,n222,N
n152,n222,N
n194,n222,B
n224,n222,P
n245,n222,N
n248,n222,P
n29,n226,I
n76,n226,N
n152,n226,P
n194,n226,N
n224,n226,N
n245,n226,I
n248,n226,P
n29,n233,N
n76,n233,N
n152,n233,P
n194,n233,B
n224,n233,P
n245,n233,B
n248,n233,P
n29,n242,I
n76,n242,P
n152,n242,P
n194,n242,B
n224,n242,P
n245,n242,N
n248,n242,P
n29,n258,P
n76,n258,P
n152,n258,P
n194,n258,B
n224,n258,P
n245,n258,B
n248,n258,N
