po,pi,rel
n5,n16,I
n63,n16,P
n78,n16,P
n126,n16,N
n142,n16,N
n144,n16,N
n153,n16,I
n5,n23,I
n63,n23,N
n78,n23,P
n126,n23,N
n142,n23,B
n144,n23,P
n153,n23,N
n5,n24,I
n63,n24,P
n78,n24,P
n126,n24,P
n142,n24,P
n144,n24,P
n153,n24,I
n5,n31,I
n63,n31,P
n78,n31,N
n126,n31,P
n142,n31,N
n144,n31,N
n153,n31,I
n5,n38,P
n63,n38,P
n78,n38,N
n126,n38,P
n142,n38,B
n144,n38,N
n153,n38,B
n5,n41,N
n63,n41,N
n78,n41,N
n126,n41,P
n142,n41,B
n144,n41,N
n153,n41,N
n5,n44,N
n63,n44,N
n78,n44,P
n126,n44,P
n142,n44,B
n144,n44,N
n153,n44,B
n5,n46,N
n63,n46,N
n78,n46,P
n126,n46,N
n142,n46,B
n144,n46,N
n153,n46,B
n5,n53,P
n63,n53,P
n78,n53,N
n126,n53,N
n142,n53,B
n144,n53,P
n153,n53,B
n5,n55,P
n63,n55,N
n78,n55,N
n126,n55,P
n142,n55,B
n144,n55,P
n153,n55,B
n5,n57,N
n63,n57,P
n78,n57,P
n126,n57,P
n142,n57,B
n144,n57,N
n153,n57,B
n5,n62,I
n63,n62,P
n78,n62,N
n126,n62,N
n142,n62,N
n144,n62,N
n153,n62,I
n5,n68,P
n63,n68,N
n78,n68,N
n126,n68,N
n142,n68,B
n144,n68,P
n153,n68,B
n5,n71,N
n63,n71,N
n78,n71,P
n126,n71,N
n142,n71,B
n144,n71,P
n153,n71,B
n5,n72,I
n63,n72,P
n78,n72,N
n126,n72,N
n142,n72,B
n144,n72,N
n153,n72,N
n5,n79,I
n63,n79,P
n78,n79,P
n126,n79,N
n142,n79,B
n144,n79,N
n153,n79,N
n5,n84,P
n63,n84,B
n78,n84,P
n126,n84,N
n142,n84,B
n144,n84,P
n153,n84,B
n5,n92,I
n63,n92,N
n78,n92,N
n126,n92,N
n142,n92,B
n144,n92,N
n153,n92,N
n5,n96,P
n63,n96,N
n78,n96,P
n126,n96,P
n142,n96,B
n144,n96,P
n153,n96,B
n5,n98,N
n63,n98,P
n78,n98,N
n126,n98,N
n142,n98,B
n144,n98,N
n153,n98,B
n5,n101,N
n63,n101,P
n78,n101,N
n126,n101,P
n142,n101,B
n144,n101,N
n153,n101,B
n5,n106,I
n63,n106,N
n78,n106,N
n126,n106,P
n142,n106,N
n144,n106,N
n153,n106,I
n5,n107,I
n63,n107,P
n78,n107,P
n126,n107,P
n142,n107,B
n144,n107,N
n153,n107,N
n5,n120,I
n63,n120,P
n78,n120,N
n126,n120,P
n142,n120,B
n144,n120,N
n153,n120,N
n5,n123,I
n63,n123,N
n78,n123,P
n126,n123,N
n142,n123,B
n144,n123,N
n153,n123,N
n5,n136,I
n63,n136,N
n78,n136,P
n126,n136,P
n142,n136,B
n144,n136,N
n153,n136,N
n5,n145,I
n63,n145,P
n78,n145,P
n126,n145,P
n142,n145,B
n144,n145,P
n153,n145,P
n5,n165,N
n63,n165,P
n78,n165,P
n126,n165,N
n142,n165,B
n144,n165,N
n153,n165,B
n5,n177,I
n63,n177,N
n78,n177,P
n126,n177,P
n142,n177,N
n144,n177,N
n153,n177,I
n5,n182,P
n63,n182,P
n78,n182,N
n126,n182,P
n142,n182,B
n144,n182,P
n153,n182,B
n5,n216,I
n63,n216,P
n78,n216,P
n126,n216,P
n142,n216,N
n144,n216,N
n153,n216,I
n5,n220,I
n63,n220,N
n78,n220,P
n126,n220,N
n142,n220,N
n144,n220,N
n153,n220,I
