po,pi,rel
n1,n3,I
n20,n3,B
n49,n3,B
n52,n3,B
n69,n3,B
n107,n3,B
n114,n3,B
n135,n3,B
n200,n3,N
n235,n3,B
n292,n3,B
n297,n3,B
n313,n3,B
n326,n3,B
n330,n3,B
n334,n3,N
n336,n3,N
n399,n3,B
n463,n3,N
n484,n3,B
n524,n3,B
n531,n3,B
n559,n3,B
n575,n3,I
n587,n3,B
n636,n3,B
n647,n3,B
n749,n3,B
n751,n3,B
n784,n3,B
n785,n3,B
n812,n3,B
n834,n3,B
n873,n3,B
n897,n3,B
n932,n3,B
n958,n3,B
n963,n3,N
n983,n3,B
n1084,n3,B
n1094,n3,B
n1105,n3,B
n1122,n3,B
n1143,n3,P
n1161,n3,B
n1204,n3,B
n1235,n3,B
n1238,n3,B
n1241,n3,B
n1260,n3,B
n1266,n3,B
n1268,n3,N
n1277,n3,P
n1297,n3,B
n1301,n3,B
n1405,n3,B
n1458,n3,B
n1461,n3,B
n1503,n3,B
n1504,n3,B
n1558,n3,B
n1616,n3,I
n1625,n3,B
n1632,n3,B
n1660,n3,B
n1682,n3,B
n1696,n3,I
n1735,n3,B
n1741,n3,B
n1771,n3,B
n1855,n3,B
n1869,n3,B
n1889,n3,B
n1896,n3,B
n1912,n3,B
n1936,n3,B
n1952,n3,I
n1953,n3,B
n2015,n3,B
n2025,n3,B
n2029,n3,B
n2093,n3,B
n2094,n3,B
n2106,n3,B
n2159,n3,B
n2185,n3,B
n2212,n3,B
n2233,n3,B
n2304,n3,B
n2315,n3,B
n2352,n3,P
n2379,n3,B
n2532,n3,B
n2550,n3,B
n2561,n3,B
n2584,n3,B
n2592,n3,B
n2650,n3,B
n2801,n3,B
n2803,n3,B
n2833,n3,B
n2839,n3,B
n2840,n3,B
n2870,n3,P
n2873,n3,B
n2888,n3,B
n2975,n3,B
n3000,n3,I
n3014,n3,B
n3031,n3,B
n3087,n3,B
n3115,n3,B
n3131,n3,B
n3157,n3,B
n3173,n3,B
n3225,n3,B
n3336,n3,B
n3339,n3,B
n3355,n3,B
n3548,n3,N
n3551,n3,B
n3563,n3,B
n3580,n3,B
n3584,n3,B
n3603,n3,B
