po,pi,rel
n22,n11,B
n23,n11,I
n27,n11,I
n30,n11,I
n85,n11,I
n112,n11,I
n126,n11,I
n130,n11,I
n161,n11,N
n164,n11,B
n173,n11,I
n181,n11,B
n184,n11,I
n216,n11,B
n230,n11,I
n233,n11,I
n247,n11,I
n275,n11,I
n292,n11,I
n301,n11,I
n304,n11,I
n337,n11,I
n352,n11,I
n362,n11,I
n364,n11,B
n370,n11,I
n378,n11,B
n396,n11,B
n417,n11,I
n428,n11,B
n453,n11,B
n457,n11,N
n460,n11,I
n497,n11,I
n498,n11,I
n501,n11,I
n509,n11,I
n516,n11,I
n517,n11,I
n534,n11,I
n553,n11,N
n585,n11,N
n595,n11,I
n597,n11,I
n625,n11,I
n638,n11,I
n640,n11,I
n669,n11,I
n693,n11,I
n714,n11,I
n719,n11,I
n726,n11,I
n773,n11,I
n782,n11,I
n794,n11,I
n821,n11,I
n842,n11,I
n894,n11,I
n916,n11,B
n918,n11,B
n952,n11,I
n990,n11,B
n1006,n11,I
n1017,n11,I
n1042,n11,I
n1050,n11,I
n1051,n11,I
n1058,n11,I
n1060,n11,I
n1063,n11,I
n1065,n11,B
n1177,n11,I
n1186,n11,N
n1195,n11,I
n1209,n11,I
n1211,n11,N
n1231,n11,I
n1234,n11,I
n1253,n11,I
n1285,n11,I
n1288,n11,B
n1292,n11,I
n1296,n11,I
n1302,n11,B
n1306,n11,I
n1320,n11,I
n1322,n11,I
n1337,n11,I
n1359,n11,B
n1368,n11,I
n1375,n11,B
n1391,n11,B
n1420,n11,I
n1421,n11,I
n1427,n11,I
n1527,n11,I
n1534,n11,I
n1547,n11,I
n1548,n11,I
n1588,n11,B
n1594,n11,I
n1632,n11,N
n1639,n11,I
n1645,n11,I
n1687,n11,I
n1729,n11,I
n1738,n11,I
n1752,n11,I
n22,n21,I
n23,n21,I
n27,n21,I
n30,n21,I
n85,n21,I
n112,n21,I
n126,n21,I
n130,n21,I
n161,n21,I
n164,n21,I
n173,n21,I
n181,n21,I
n184,n21,I
n216,n21,I
n230,n21,I
n233,n21,I
n247,n21,I
n275,n21,I
n292,n21,I
n301,n21,I
n304,n21,I
n337,n21,I
n352,n21,I
n362,n21,I
n364,n21,I
n370,n21,I
n378,n21,I
n396,n21,I
n417,n21,I
n428,n21,I
n453,n21,I
n457,n21,I
n460,n21,P
n497,n21,I
n498,n21,I
n501,n21,I
n509,n21,I
n516,n21,I
n517,n21,I
n534,n21,I
n553,n21,I
n585,n21,I
n595,n21,I
n597,n21,I
n625,n21,I
n638,n21,I
n640,n21,I
n669,n21,I
n693,n21,I
n714,n21,I
n719,n21,I
n726,n21,I
n773,n21,I
n782,n21,I
n794,n21,I
n821,n21,I
n842,n21,I
n894,n21,I
n916,n21,I
n918,n21,B
n952,n21,I
n990,n21,I
n1006,n21,I
n1017,n21,I
n1042,n21,I
n1050,n21,I
n1051,n21,I
n1058,n21,I
n1060,n21,I
n1063,n21,I
n1065,n21,I
n1177,n21,I
n1186,n21,I
n1195,n21,I
n1209,n21,I
n1211,n21,I
n1231,n21,I
n1234,n21,I
n1253,n21,I
n1285,n21,I
n1288,n21,I
n1292,n21,I
n1296,n21,I
n1302,n21,I
n1306,n21,I
n1320,n21,I
n1322,n21,B
n1337,n21,I
n1359,n21,I
n1368,n21,I
n1375,n21,I
n1391,n21,I
n1420,n21,I
n1421,n21,I
n1427,n21,I
n1527,n21,I
n1534,n21,I
n1547,n21,I
n1548,n21,I
n1588,n21,I
n1594,n21,I
n1632,n21,I
n1639,n21,I
n1645,n21,I
n1687,n21,I
n1729,n21,I
n1738,n21,I
n1752,n21,I
n22,n29,I
n23,n29,I
n27,n29,I
n30,n29,I
n85,n29,I
n112,n29,I
n126,n29,I
n130,n29,I
n161,n29,P
n164,n29,I
n173,n29,I
n181,n29,I
n184,n29,I
n216,n29,I
n230,n29,I
n233,n29,I
n247,n29,I
n275,n29,I
n292,n29,I
n301,n29,I
n304,n29,I
n337,n29,I
n352,n29,I
n362,n29,I
n364,n29,I
n370,n29,I
n378,n29,I
n396,n29,I
n417,n29,I
n428,n29,I
n453,n29,I
n457,n29,P
n460,n29,I
n497,n29,I
n498,n29,I
n501,n29,I
n509,n29,I
n516,n29,I
n517,n29,I
n534,n29,I
n553,n29,I
n585,n29,I
n595,n29,I
n597,n29,I
n625,n29,I
n638,n29,I
n640,n29,I
n669,n29,I
n693,n29,I
n714,n29,I
n719,n29,I
n726,n29,I
n773,n29,I
n782,n29,I
n794,n29,I
n821,n29,I
n842,n29,I
n894,n29,I
n916,n29,I
n918,n29,B
n952,n29,I
n990,n29,I
n1006,n29,I
n1017,n29,I
n1042,n29,I
n1050,n29,I
n1051,n29,I
n1058,n29,I
n1060,n29,I
n1063,n29,I
n1065,n29,I
n1177,n29,I
n1186,n29,I
n1195,n29,I
n1209,n29,I
n1211,n29,P
n1231,n29,I
n1234,n29,I
n1253,n29,I
