po,pi,rel
n7,n2,I
n15,n2,I
n27,n2,I
n37,n2,I
n45,n2,I
n83,n2,I
n87,n2,B
n88,n2,I
n92,n2,B
n113,n2,I
n121,n2,I
n135,n2,I
n143,n2,I
n144,n2,I
n165,n2,I
n168,n2,B
n173,n2,I
n185,n2,B
n196,n2,B
n212,n2,I
n226,n2,I
n231,n2,I
n232,n2,B
n246,n2,I
n250,n2,I
n255,n2,I
n258,n2,I
n281,n2,I
n350,n2,B
n365,n2,B
n368,n2,I
n369,n2,I
n371,n2,B
n373,n2,B
n378,n2,I
n381,n2,I
n382,n2,I
n404,n2,I
n426,n2,I
n429,n2,I
n439,n2,B
n469,n2,I
n487,n2,I
n490,n2,I
n499,n2,B
n513,n2,I
n539,n2,I
n7,n5,I
n15,n5,I
n27,n5,I
n37,n5,I
n45,n5,I
n83,n5,B
n87,n5,I
n88,n5,I
n92,n5,I
n113,n5,B
n121,n5,B
n135,n5,B
n143,n5,I
n144,n5,B
n165,n5,I
n168,n5,I
n173,n5,B
n185,n5,I
n196,n5,I
n212,n5,I
n226,n5,B
n231,n5,B
n232,n5,I
n246,n5,I
n250,n5,I
n255,n5,I
n258,n5,I
n281,n5,I
n350,n5,I
n365,n5,I
n368,n5,I
n369,n5,B
n371,n5,I
n373,n5,I
n378,n5,I
n381,n5,I
n382,n5,I
n404,n5,I
n426,n5,I
n429,n5,I
n439,n5,I
n469,n5,I
n487,n5,I
n490,n5,B
n499,n5,I
n513,n5,I
n539,n5,I
n7,n6,I
n15,n6,I
n27,n6,I
n37,n6,I
n45,n6,I
n83,n6,I
n87,n6,B
n88,n6,I
n92,n6,I
n113,n6,I
n121,n6,I
n135,n6,I
n143,n6,I
n144,n6,I
n165,n6,I
n168,n6,B
n173,n6,I
n185,n6,I
n196,n6,B
n212,n6,I
n226,n6,I
n231,n6,I
n232,n6,B
n246,n6,I
n250,n6,I
n255,n6,I
n258,n6,I
n281,n6,I
n350,n6,B
n365,n6,B
n368,n6,I
n369,n6,I
n371,n6,B
n373,n6,B
n378,n6,I
n381,n6,I
n382,n6,I
n404,n6,I
n426,n6,I
n429,n6,I
n439,n6,B
n469,n6,I
n487,n6,I
n490,n6,I
n499,n6,B
n513,n6,I
n539,n6,I
n7,n8,I
n15,n8,I
n27,n8,I
n37,n8,I
n45,n8,I
n83,n8,I
n87,n8,B
n88,n8,I
n92,n8,B
n113,n8,I
n121,n8,I
n135,n8,I
n143,n8,I
n144,n8,I
n165,n8,I
n168,n8,B
n173,n8,I
n185,n8,B
n196,n8,B
n212,n8,I
n226,n8,I
n231,n8,I
n232,n8,B
n246,n8,I
n250,n8,I
n255,n8,I
n258,n8,I
n281,n8,I
n350,n8,B
n365,n8,B
n368,n8,I
n369,n8,I
n371,n8,B
n373,n8,B
n378,n8,B
n381,n8,I
n382,n8,I
n404,n8,I
n426,n8,I
n429,n8,I
n439,n8,B
n469,n8,I
n487,n8,I
n490,n8,I
n499,n8,B
n513,n8,I
n539,n8,I
n7,n31,I
n15,n31,I
n27,n31,I
n37,n31,I
n45,n31,I
n83,n31,I
n87,n31,B
n88,n31,I
n92,n31,B
n113,n31,I
n121,n31,I
n135,n31,I
n143,n31,I
n144,n31,I
n165,n31,I
n168,n31,B
n173,n31,I
n185,n31,B
n196,n31,B
n212,n31,I
n226,n31,I
n231,n31,I
n232,n31,B
n246,n31,I
n250,n31,I
n255,n31,I
n258,n31,I
n281,n31,I
n350,n31,B
n365,n31,B
n368,n31,I
n369,n31,I
n371,n31,B
n373,n31,B
n378,n31,I
n381,n31,I
n382,n31,I
n404,n31,I
n426,n31,I
n429,n31,I
n439,n31,B
n469,n31,I
n487,n31,I
n490,n31,I
n499,n31,B
n513,n31,I
n539,n31,I
n7,n33,I
n15,n33,I
n27,n33,I
n37,n33,I
n45,n33,I
n83,n33,I
n87,n33,I
n88,n33,I
n92,n33,I
n113,n33,I
n121,n33,I
n135,n33,I
n143,n33,I
n144,n33,I
n165,n33,I
n168,n33,I
n173,n33,I
n185,n33,I
n196,n33,B
n212,n33,I
n226,n33,I
n231,n33,I
n232,n33,I
n246,n33,I
n250,n33,I
n255,n33,I
n258,n33,I
n281,n33,I
n350,n33,I
n365,n33,I
n368,n33,I
n369,n33,I
n371,n33,I
n373,n33,I
n378,n33,I
n381,n33,I
n382,n33,I
n404,n33,I
n426,n33,I
n429,n33,I
n439,n33,B
n469,n33,I
n487,n33,I
n490,n33,I
n499,n33,I
n513,n33,I
n539,n33,I
n7,n40,I
n15,n40,I
n27,n40,I
n37,n40,I
n45,n40,I
n83,n40,I
n87,n40,I
n88,n40,I
n92,n40,I
n113,n40,I
n121,n40,I
n135,n40,B
n143,n40,I
n144,n40,I
n165,n40,I
n168,n40,I
n173,n40,I
n185,n40,I
n196,n40,I
n212,n40,I
n226,n40,B
n231,n40,I
n232,n40,I
n246,n40,I
n250,n40,I
n255,n40,I
n258,n40,I
n281,n40,I
n350,n40,I
n365,n40,I
n368,n40,I
n369,n40,I
n371,n40,I
n373,n40,I
n378,n40,I
n381,n40,I
n382,n40,I
n404,n40,I
n426,n40,I
n429,n40,I
n439,n40,I
n469,n40,I
n487,n40,I
n490,n40,I
n499,n40,I
n513,n40,B
n539,n40,I
n7,n49,I
n15,n49,I
n27,n49,I
n37,n49,I
n45,n49,I
n83,n49,I
n87,n49,B
n88,n49,I
n92,n49,I
n113,n49,I
n121,n49,I
n135,n49,I
n143,n49,I
n144,n49,I
n165,n49,I
n168,n49,I
n173,n49,I
n185,n49,I
n196,n49,B
n212,n49,I
n226,n49,I
n231,n49,I
n232,n49,I
n246,n49,I
n250,n49,I
n255,n49,I
n258,n49,I
n281,n49,I
n350,n49,I
n365,n49,I
n368,n49,I
n369,n49,I
n371,n49,I
n373,n49,B
n378,n49,I
n381,n49,I
n382,n49,I
n404,n49,I
n426,n49,I
n429,n49,I
n439,n49,B
n469,n49,I
n487,n49,I
n490,n49,I
n499,n49,B
n513,n49,I
n539,n49,I
n7,n58,I
n15,n58,I
n27,n58,I
n37,n58,I
n45,n58,I
n83,n58,I
n87,n58,B
n88,n58,I
n92,n58,B
n113,n58,I
n121,n58,I
n135,n58,I
n143,n58,I
n144,n58,I
n165,n58,I
n168,n58,B
n173,n58,I
n185,n58,I
n196,n58,B
n212,n58,I
n226,n58,I
n231,n58,I
n232,n58,B
n246,n58,I
n250,n58,I
n255,n58,I
n258,n58,I
n281,n58,I
n350,n58,B
n365,n58,B
n368,n58,I
n369,n58,I
n371,n58,B
n373,n58,B
n378,n58,I
n381,n58,I
n382,n58,I
n404,n58,I
n426,n58,I
n429,n58,I
n439,n58,B
n469,n58,I
n487,n58,I
n490,n58,I
n499,n58,B
n513,n58,I
n539,n58,I
n7,n78,I
n15,n78,I
n27,n78,I
n37,n78,I
n45,n78,I
n83,n78,I
n87,n78,B
n88,n78,I
n92,n78,B
n113,n78,I
n121,n78,I
n135,n78,I
n143,n78,I
n144,n78,I
n165,n78,I
n168,n78,B
n173,n78,I
n185,n78,B
n196,n78,B
