po,pi,rel
n18,n7,I
n56,n7,P
n61,n7,I
n66,n7,I
n67,n7,I
n75,n7,I
n83,n7,I
n101,n7,I
n107,n7,I
n112,n7,I
n117,n7,I
n123,n7,I
n129,n7,I
n130,n7,I
n158,n7,I
n165,n7,I
n168,n7,I
n173,n7,I
n193,n7,I
n211,n7,I
n222,n7,I
n235,n7,I
n245,n7,I
n249,n7,I
n259,n7,I
n262,n7,I
n264,n7,I
n315,n7,I
n320,n7,I
n337,n7,I
n357,n7,I
n361,n7,I
n370,n7,I
n375,n7,I
n379,n7,I
n381,n7,I
n413,n7,I
n417,n7,I
n454,n7,I
n456,n7,I
n476,n7,I
n487,n7,I
n542,n7,I
n547,n7,I
n567,n7,I
n574,n7,I
n596,n7,I
n611,n7,I
n623,n7,I
n635,n7,I
n649,n7,I
n661,n7,I
n673,n7,I
n722,n7,I
n765,n7,I
n776,n7,I
n786,n7,I
n793,n7,I
n824,n7,I
n840,n7,I
n845,n7,I
n849,n7,I
n860,n7,I
n878,n7,I
n882,n7,I
n889,n7,I
n944,n7,I
n951,n7,I
n964,n7,I
n967,n7,I
n974,n7,I
n1027,n7,I
n1044,n7,I
n1047,n7,I
n1050,n7,P
n1065,n7,I
n1087,n7,I
n1096,n7,I
n1110,n7,I
n1140,n7,I
n1163,n7,I
n1186,n7,I
n1224,n7,I
n1233,n7,I
n1269,n7,I
n1270,n7,I
n1297,n7,I
n1314,n7,I
n1322,n7,I
n1346,n7,I
n1355,n7,I
n1370,n7,I
n1377,n7,I
n1378,n7,I
n1390,n7,I
n1409,n7,I
n1414,n7,I
n1425,n7,I
n1462,n7,I
n1464,n7,I
n1491,n7,I
n1495,n7,I
n1510,n7,I
n1511,n7,I
n1543,n7,I
n1584,n7,I
n1587,n7,I
n1631,n7,I
n1654,n7,I
n1657,n7,I
n1676,n7,I
n1682,n7,I
n1697,n7,I
n1698,n7,I
n1708,n7,I
n1710,n7,I
n1721,n7,I
n1733,n7,I
n1761,n7,I
n1780,n7,I
n1784,n7,I
n1793,n7,I
n1794,n7,I
n18,n9,I
n56,n9,I
n61,n9,I
n66,n9,I
n67,n9,I
n75,n9,I
n83,n9,I
n101,n9,I
n107,n9,I
n112,n9,I
n117,n9,I
n123,n9,I
n129,n9,I
n130,n9,I
n158,n9,I
n165,n9,I
n168,n9,I
n173,n9,I
n193,n9,I
n211,n9,I
n222,n9,I
n235,n9,I
n245,n9,I
n249,n9,I
n259,n9,I
n262,n9,I
n264,n9,I
n315,n9,I
n320,n9,I
n337,n9,I
n357,n9,I
n361,n9,I
n370,n9,I
n375,n9,I
