po,pi,rel
n3,n10,B
n12,n10,B
n25,n10,B
n26,n10,B
n27,n10,B
n28,n10,B
n31,n10,B
n32,n10,B
n41,n10,B
n54,n10,B
n60,n10,B
n62,n10,B
n64,n10,B
n70,n10,B
n83,n10,B
n91,n10,B
n96,n10,B
n98,n10,B
n103,n10,B
n118,n10,B
n129,n10,B
n139,n10,B
n153,n10,B
n163,n10,B
n169,n10,B
n187,n10,B
n191,n10,B
n192,n10,B
n194,n10,B
n202,n10,B
n235,n10,P
n254,n10,B
n3,n21,B
n12,n21,B
n25,n21,B
n26,n21,B
n27,n21,B
n28,n21,B
n31,n21,B
n32,n21,B
n41,n21,B
n54,n21,B
n60,n21,B
n62,n21,B
n64,n21,B
n70,n21,B
n83,n21,P
n91,n21,B
n96,n21,B
n98,n21,B
n103,n21,B
n118,n21,B
n129,n21,B
n139,n21,B
n153,n21,B
n163,n21,B
n169,n21,B
n187,n21,B
n191,n21,B
n192,n21,B
n194,n21,B
n202,n21,B
n235,n21,B
n254,n21,B
n3,n24,B
n12,n24,B
n25,n24,B
n26,n24,B
n27,n24,B
n28,n24,B
n31,n24,B
n32,n24,B
n41,n24,B
n54,n24,B
n60,n24,B
n62,n24,B
n64,n24,B
n70,n24,B
n83,n24,B
n91,n24,B
n96,n24,B
n98,n24,B
n103,n24,B
n118,n24,B
n129,n24,B
n139,n24,B
n153,n24,P
n163,n24,B
n169,n24,B
n187,n24,B
n191,n24,B
n192,n24,B
n194,n24,B
n202,n24,B
n235,n24,B
n254,n24,B
n3,n29,B
n12,n29,B
n25,n29,B
n26,n29,P
n27,n29,B
n28,n29,B
n31,n29,B
n32,n29,B
n41,n29,B
n54,n29,B
n60,n29,B
n62,n29,B
n64,n29,B
n70,n29,B
n83,n29,B
n91,n29,B
n96,n29,B
n98,n29,B
n103,n29,B
n118,n29,B
n129,n29,B
n139,n29,B
n153,n29,B
n163,n29,B
n169,n29,B
n187,n29,B
n191,n29,B
n192,n29,B
n194,n29,B
n202,n29,B
n235,n29,B
n254,n29,B
n3,n37,B
n12,n37,B
n25,n37,B
n26,n37,B
n27,n37,B
n28,n37,B
n31,n37,B
n32,n37,B
n41,n37,B
n54,n37,B
n60,n37,B
n62,n37,B
n64,n37,B
n70,n37,B
n83,n37,B
n91,n37,B
n96,n37,B
n98,n37,B
n103,n37,B
n118,n37,B
n129,n37,B
n139,n37,B
n153,n37,B
n163,n37,B
n169,n37,B
n187,n37,B
n191,n37,B
n192,n37,B
n194,n37,B
n202,n37,B
n235,n37,B
n254,n37,B
n3,n45,B
n12,n45,B
n25,n45,B
n26,n45,B
n27,n45,B
n28,n45,B
n31,n45,B
n32,n45,B
n41,n45,B
n54,n45,B
n60,n45,B
n62,n45,B
n64,n45,B
n70,n45,B
n83,n45,B
n91,n45,B
n96,n45,B
n98,n45,B
n103,n45,B
n118,n45,B
n129,n45,B
n139,n45,B
n153,n45,B
n163,n45,B
n169,n45,B
n187,n45,B
n191,n45,B
n192,n45,B
n194,n45,B
n202,n45,B
n235,n45,B
n254,n45,B
n3,n46,B
n12,n46,B
n25,n46,B
n26,n46,B
n27,n46,B
n28,n46,B
n31,n46,B
n32,n46,B
n41,n46,B
n54,n46,B
n60,n46,B
n62,n46,B
n64,n46,B
n70,n46,B
n83,n46,B
n91,n46,B
n96,n46,B
n98,n46,B
n103,n46,B
n118,n46,B
n129,n46,B
n139,n46,B
n153,n46,B
n163,n46,B
n169,n46,B
n187,n46,P
n191,n46,B
n192,n46,B
n194,n46,B
n202,n46,B
n235,n46,B
n254,n46,B
n3,n47,B
n12,n47,B
n25,n47,B
n26,n47,B
n27,n47,B
n28,n47,B
n31,n47,B
n32,n47,B
n41,n47,B
n54,n47,P
n60,n47,B
n62,n47,B
n64,n47,B
n70,n47,B
n83,n47,B
n91,n47,B
n96,n47,B
n98,n47,B
n103,n47,B
n118,n47,B
